object_id,total_tender_awarded_value
21-372-03559,150280.0
21-374-03577,8061606.0
21-374-03580,450583.0
21-376-03490,10619298.0
21-376-03491,17637334.0
21-376-03499,3705434.0
21-378-03328,655115.92
21-380-03389,4466554.0
21-381-03334,2099350.0
21-381-03339,2099579.0
21-382-03400,3142829.14
21-383-03352,150335.04
21-386-03457,8080777.0
21-387-03543,64034516.0
21-387-03544,11884863.0
21-388-03383,7055675.19
21-390-03424,9924962.0
21-390-03428,5403339.0
21-390-03430,1147927.0
21-393-03285,3943203.0
21-393-03286,24019074.0
21-393-03288,7972616.0
21-393-03292,3330016.0
21-393-03295,41993231.0
21-393-03297,12124800.0
21-394-03531,20203022.0
21-394-03532,150550.0
21-394-03533,6553617.0
21-394-03534,13000164.0
21-394-03535,25784122.0
21-396-03557,12891380.0
21-397-03522,227792.0
21-398-03468,2765638.0
21-398-03471,225728.0
21-398-03475,6690155.0
21-398-03476,22530477.0
21-398-03478,7700961.0
21-398-03479,8787511.0
